species,class,order,maximum_lifespan_yr,mass_g,volancy,fossoriallity,foraging_environment,daily_activity
Myotis_blythii,Mammalia,Chiroptera,33,23,volant,nonfossorial,volant,nocturnal
Myotis_brandtii,Mammalia,Chiroptera,41,7,volant,nonfossorial,volant,nocturnal
Myotis_dasycneme,Mammalia,Chiroptera,20.5,15,volant,nonfossorial,volant,nocturnal
Myotis_daubentonii,Mammalia,Chiroptera,28,8.5,volant,nonfossorial,volant,nocturnal
Myotis_emarginatus,Mammalia,Chiroptera,22.7,11,volant,nonfossorial,volant,nocturnal
Myotis_evotis,Mammalia,Chiroptera,22,7.4,volant,nonfossorial,volant,nocturnal
Myotis_grisescens,Mammalia,Chiroptera,16.5,9.25,volant,nonfossorial,volant,nocturnal
Myotis_keenii,Mammalia,Chiroptera,19,7.4,volant,nonfossorial,volant,nocturnal
Myotis_leibii,Mammalia,Chiroptera,12,5.6,volant,nonfossorial,volant,nocturnal
Myotis_lucifugus,Mammalia,Chiroptera,34,10,volant,nonfossorial,volant,nocturnal
Myotis_myotis,Mammalia,Chiroptera,37.1,28.55,volant,nonfossorial,volant,nocturnal
Myotis_mystacinus,Mammalia,Chiroptera,24,5.3,volant,nonfossorial,volant,nocturnal
Myotis_nattereri,Mammalia,Chiroptera,23.7,7.5,volant,nonfossorial,volant,nocturnal
Myotis_nigricans,Mammalia,Chiroptera,7,4.2,volant,nonfossorial,volant,nocturnal
Myotis_sodalis,Mammalia,Chiroptera,20,7.7,volant,nonfossorial,volant,nocturnal
Myotis_thysanodes,Mammalia,Chiroptera,18.3,6,volant,nonfossorial,volant,nocturnal
Myotis_velifer,Mammalia,Chiroptera,11.3,10.1,volant,nonfossorial,volant,nocturnal
Myotis_vivesi,Mammalia,Chiroptera,10,25,volant,nonfossorial,aquatic,nocturnal
Myotis_volans,Mammalia,Chiroptera,21,7,volant,nonfossorial,volant,nocturnal
Myotis_yumanensis,Mammalia,Chiroptera,14,6.25,volant,nonfossorial,volant,nocturnal
Myrmecophaga_tridactyla,Mammalia,Pilosa,31,28500,nonvolant,nonfossorial,terrestrial,nocturnal
Nanger_dama,Mammalia,Artiodactyla,19.3,73000,nonvolant,nonfossorial,terrestrial,diurnal
Nasua_narica,Mammalia,Carnivora,26.4,3750,nonvolant,nonfossorial,semiarboreal,cathemeral
Nasua_nasua,Mammalia,Carnivora,23.7,4750,nonvolant,nonfossorial,semiarboreal,cathemeral
Neofelis_nebulosa,Mammalia,Carnivora,19.8,19500,nonvolant,nonfossorial,semiarboreal,nocturnal
Neotoma_floridana,Mammalia,Rodentia,8.6,291,nonvolant,nonfossorial,terrestrial,nocturnal
Noctilio_leporinus,Mammalia,Chiroptera,11.8,50,volant,nonfossorial,aquatic,nocturnal
Notomys_alexis,Mammalia,Rodentia,6.4,35,nonvolant,semifossorial,terrestrial,nocturnal
Nyctalus_leisleri,Mammalia,Chiroptera,16,16,volant,nonfossorial,volant,crepuscular
Nyctalus_noctula,Mammalia,Chiroptera,12,27.75,volant,nonfossorial,volant,crepuscular
Nyctereutes_procyonoides,Mammalia,Carnivora,16.6,6500,nonvolant,semifossorial,terrestrial,cathemeral
Nycticebus_coucang,Mammalia,Primates,25.8,890.5,nonvolant,nonfossorial,arboreal,nocturnal
Nycticebus_pygmaeus,Mammalia,Primates,17.1,419,nonvolant,nonfossorial,arboreal,nocturnal
Nycticeius_humeralis,Mammalia,Chiroptera,6,9.75,volant,nonfossorial,volant,nocturnal
Octodon_degus,Mammalia,Rodentia,14,235,nonvolant,semifossorial,terrestrial,diurnal
Odocoileus_hemionus,Mammalia,Artiodactyla,22,57000,nonvolant,nonfossorial,terrestrial,crepuscular
Odocoileus_virginianus,Mammalia,Artiodactyla,23,87000,nonvolant,nonfossorial,terrestrial,crepuscular
Okapia_johnstoni,Mammalia,Artiodactyla,33.5,225000,nonvolant,nonfossorial,terrestrial,diurnal
Oreotragus_oreotragus,Mammalia,Artiodactyla,25.9,12000,nonvolant,nonfossorial,terrestrial,diurnal
Orycteropus_afer,Mammalia,Tubulidentata,29.8,60000,nonvolant,semifossorial,terrestrial,nocturnal
Oryx_dammah,Mammalia,Artiodactyla,27.5,177500,nonvolant,nonfossorial,terrestrial,diurnal
Oryx_gazella,Mammalia,Artiodactyla,23.8,170000,nonvolant,nonfossorial,terrestrial,diurnal
Oryx_leucoryx,Mammalia,Artiodactyla,20.8,121350,nonvolant,nonfossorial,terrestrial,diurnal
Otocyon_megalotis,Mammalia,Carnivora,17,4150,nonvolant,semifossorial,terrestrial,cathemeral
Otolemur_crassicaudatus,Mammalia,Primates,22.7,1094.5,nonvolant,nonfossorial,arboreal,nocturnal
Otolemur_garnettii,Mammalia,Primates,18.3,1300,nonvolant,nonfossorial,arboreal,nocturnal
Ovis_aries,Mammalia,Artiodactyla,22.8,80000,nonvolant,nonfossorial,terrestrial,diurnal
Ovis_canadensis,Mammalia,Artiodactyla,20.6,70275,nonvolant,nonfossorial,terrestrial,diurnal
Ovis_dalli,Mammalia,Artiodactyla,19.6,73100,nonvolant,nonfossorial,terrestrial,diurnal
Pan_troglodytes,Mammalia,Primates,59.4,44983.5,nonvolant,nonfossorial,semiarboreal,diurnal
Panthera_leo,Mammalia,Carnivora,27,175000,nonvolant,nonfossorial,terrestrial,nocturnal
Panthera_onca,Mammalia,Carnivora,28,81150,nonvolant,nonfossorial,terrestrial,cathemeral
Panthera_pardus,Mammalia,Carnivora,27.3,53750,nonvolant,nonfossorial,terrestrial,nocturnal
Panthera_tigris,Mammalia,Carnivora,26.3,119700,nonvolant,nonfossorial,terrestrial,nocturnal
Papio_hamadryas,Mammalia,Primates,37.5,18000,nonvolant,nonfossorial,terrestrial,diurnal
Pecari_tajacu,Mammalia,Artiodactyla,31.5,20200,nonvolant,nonfossorial,terrestrial,cathemeral
Perameles_gunnii,Mammalia,Peramelemorphia,6.1,766,nonvolant,nonfossorial,terrestrial,nocturnal
Peromyscus_eremicus,Mammalia,Rodentia,7.4,25,nonvolant,nonfossorial,terrestrial,nocturnal
Peromyscus_maniculatus,Mammalia,Rodentia,8.3,20.5,nonvolant,nonfossorial,terrestrial,nocturnal
Peromyscus_polionotus,Mammalia,Rodentia,5.5,14,nonvolant,nonfossorial,terrestrial,nocturnal
Petrogale_penicillata,Mammalia,Diprotodontia,14.3,6000,nonvolant,nonfossorial,terrestrial,nocturnal
Petrogale_xanthopus,Mammalia,Diprotodontia,14.4,6000,nonvolant,nonfossorial,terrestrial,nocturnal
Phacochoerus_africanus,Mammalia,Artiodactyla,20.9,1.00E+05,nonvolant,semifossorial,terrestrial,cathemeral
Phascogale_calura,Mammalia,Dasyuromorphia,4.7,43,nonvolant,nonfossorial,arboreal,nocturnal
Phascolarctos_cinereus,Mammalia,Diprotodontia,22.1,9300,nonvolant,nonfossorial,arboreal,nocturnal
Philantomba_monticola,Mammalia,Artiodactyla,15.9,6250,nonvolant,nonfossorial,terrestrial,nocturnal
Phloeomys_pallidus,Mammalia,Rodentia,10.7,1744,nonvolant,nonfossorial,arboreal,nocturnal
Phodopus_sungorus,Mammalia,Rodentia,3.9,23.4,nonvolant,semifossorial,terrestrial,crepuscular
Phyllostomus_discolor,Mammalia,Chiroptera,9,43.4,volant,nonfossorial,arboreal,nocturnal
Phyllostomus_hastatus,Mammalia,Chiroptera,18,81,volant,nonfossorial,arboreal,nocturnal
Pipistrellus_kuhlii,Mammalia,Chiroptera,8,6,volant,nonfossorial,volant,nocturnal
Pipistrellus_nathusii,Mammalia,Chiroptera,11,10,volant,nonfossorial,volant,nocturnal
Pipistrellus_pipistrellus,Mammalia,Chiroptera,16.6,5,volant,nonfossorial,volant,nocturnal
Pipistrellus_subflavus,Mammalia,Chiroptera,14.8,7.5,volant,nonfossorial,volant,nocturnal
Pithecia_pithecia,Mammalia,Primates,36,1480,nonvolant,nonfossorial,arboreal,diurnal
Plecotus_auritus,Mammalia,Chiroptera,30,7.8,volant,nonfossorial,volant,nocturnal
Plecotus_austriacus,Mammalia,Chiroptera,25.5,12,volant,nonfossorial,volant,nocturnal
Pongo_pygmaeus,Mammalia,Primates,59,64475,nonvolant,nonfossorial,arboreal,diurnal
Potamochoerus_porcus,Mammalia,Artiodactyla,22,88000,nonvolant,semifossorial,terrestrial,nocturnal
Potorous_tridactylus,Mammalia,Diprotodontia,14.5,1430,nonvolant,nonfossorial,terrestrial,nocturnal
Potos_flavus,Mammalia,Carnivora,38.4,3000,nonvolant,nonfossorial,arboreal,nocturnal
Prionailurus_bengalensis,Mammalia,Carnivora,17,5000,nonvolant,nonfossorial,semiarboreal,nocturnal
Prionailurus_rubiginosus,Mammalia,Carnivora,17.9,1350,nonvolant,nonfossorial,semiarboreal,nocturnal
Procavia_capensis,Mammalia,Hyracoidea,14.8,3600,nonvolant,nonfossorial,terrestrial,diurnal
Procyon_lotor,Mammalia,Carnivora,21,6000,nonvolant,nonfossorial,semiarboreal,nocturnal
Przewalskium_albirostris,Mammalia,Artiodactyla,21.3,135000,nonvolant,nonfossorial,terrestrial,crepuscular
Psammomys_obesus,Mammalia,Rodentia,3.2,212,nonvolant,semifossorial,terrestrial,diurnal
Pseudocheirus_peregrinus,Mammalia,Diprotodontia,10.1,850,nonvolant,nonfossorial,semiarboreal,nocturnal
Pseudois_nayaur,Mammalia,Artiodactyla,20.9,55000,nonvolant,nonfossorial,terrestrial,diurnal
Pseudomys_australis,Mammalia,Rodentia,7.9,65,nonvolant,semifossorial,terrestrial,nocturnal
Pteropus_giganteus,Mammalia,Chiroptera,40,1175,volant,nonfossorial,volant,nocturnal
Pteropus_hypomelanus,Mammalia,Chiroptera,20.3,450,volant,nonfossorial,volant,nocturnal
Pteropus_livingstonii,Mammalia,Chiroptera,15,696.5,volant,nonfossorial,volant,nocturnal
Pteropus_lylei,Mammalia,Chiroptera,20.4,316.7,volant,nonfossorial,volant,nocturnal
Pteropus_poliocephalus,Mammalia,Chiroptera,23.6,675,volant,nonfossorial,volant,nocturnal
Pteropus_pumilus,Mammalia,Chiroptera,17.2,200,volant,nonfossorial,volant,nocturnal
Pteropus_rodricensis,Mammalia,Chiroptera,28,350,volant,nonfossorial,volant,nocturnal
Pteropus_vampyrus,Mammalia,Chiroptera,20.9,872,volant,nonfossorial,volant,nocturnal
Pudu_puda,Mammalia,Artiodactyla,18.3,10000,nonvolant,nonfossorial,terrestrial,cathemeral
Puma_concolor,Mammalia,Carnivora,23.8,63000,nonvolant,nonfossorial,terrestrial,cathemeral
Pygathrix_nemaeus,Mammalia,Primates,26,9720,nonvolant,nonfossorial,arboreal,diurnal
Rangifer_tarandus,Mammalia,Artiodactyla,21.8,101250,nonvolant,nonfossorial,terrestrial,diurnal
Raphicerus_campestris,Mammalia,Artiodactyla,9.3,13000,nonvolant,nonfossorial,terrestrial,diurnal
Rattus_norvegicus,Mammalia,Rodentia,3.8,300,nonvolant,semifossorial,terrestrial,nocturnal
Rattus_rattus,Mammalia,Rodentia,4.2,200,nonvolant,semifossorial,semiarboreal,nocturnal
Rhabdomys_pumilio,Mammalia,Rodentia,4.5,51,nonvolant,nonfossorial,semiarboreal,diurnal
Rhinoceros_unicornis,Mammalia,Perissodactyla,43.5,1600000,nonvolant,nonfossorial,terrestrial,cathemeral
Rhinolophus_ferrumequinum,Mammalia,Chiroptera,30.5,22.875,volant,nonfossorial,volant,nocturnal
Rhinolophus_hipposideros,Mammalia,Chiroptera,29.4,4.6,volant,nonfossorial,volant,nocturnal
Rousettus_aegyptiacus,Mammalia,Chiroptera,22.9,125,volant,nonfossorial,arboreal,nocturnal
Rousettus_lanosus,Mammalia,Chiroptera,18.7,103,volant,nonfossorial,arboreal,nocturnal
Rousettus_leschenaultii,Mammalia,Chiroptera,14,108.25,volant,nonfossorial,arboreal,nocturnal
Rucervus_duvaucelii,Mammalia,Artiodactyla,24.5,170000,nonvolant,nonfossorial,terrestrial,cathemeral
Rucervus_eldii,Mammalia,Artiodactyla,20.5,122500,nonvolant,nonfossorial,terrestrial,cathemeral
Rupicapra_rupicapra,Mammalia,Artiodactyla,17.6,37500,nonvolant,nonfossorial,terrestrial,cathemeral
Rusa_timorensis,Mammalia,Artiodactyla,21.1,63000,nonvolant,nonfossorial,terrestrial,nocturnal
Rusa_unicolor,Mammalia,Artiodactyla,26.4,185000,nonvolant,nonfossorial,terrestrial,nocturnal
Saccopteryx_bilineata,Mammalia,Chiroptera,6,7.9,volant,nonfossorial,volant,nocturnal
Saguinus_bicolor,Mammalia,Primates,19,495.8,nonvolant,nonfossorial,arboreal,diurnal
Saguinus_fuscicollis,Mammalia,Primates,24.9,456.5,nonvolant,nonfossorial,arboreal,diurnal
Saguinus_geoffroyi,Mammalia,Primates,20.5,499.3,nonvolant,nonfossorial,arboreal,diurnal
Saguinus_imperator,Mammalia,Primates,23.7,518.5,nonvolant,nonfossorial,arboreal,diurnal
Saguinus_labiatus,Mammalia,Primates,20.5,501.3,nonvolant,nonfossorial,arboreal,diurnal
Saguinus_midas,Mammalia,Primates,21,553.8,nonvolant,nonfossorial,arboreal,diurnal
Saguinus_oedipus,Mammalia,Primates,26.2,445.5,nonvolant,nonfossorial,arboreal,diurnal
Saimiri_boliviensis,Mammalia,Primates,30.3,615,nonvolant,nonfossorial,semiarboreal,diurnal
Saimiri_sciureus,Mammalia,Primates,30.2,925,nonvolant,nonfossorial,semiarboreal,diurnal
Sarcophilus_harrisii,Mammalia,Dasyuromorphia,13,6500,nonvolant,nonfossorial,terrestrial,nocturnal
Sciurus_vulgaris,Mammalia,Rodentia,14.8,600,nonvolant,nonfossorial,semiarboreal,diurnal
Sekeetamys_calurus,Mammalia,Rodentia,7.3,65,nonvolant,nonfossorial,terrestrial,nocturnal
Semnopithecus_entellus,Mammalia,Primates,29,13516.5,nonvolant,nonfossorial,semiarboreal,diurnal
Setifer_setosus,Mammalia,Afrosoricida,14.1,225,nonvolant,semifossorial,semiarboreal,nocturnal
Sigmodon_hispidus,Mammalia,Rodentia,5.2,185,nonvolant,semifossorial,terrestrial,cathemeral
Speothos_venaticus,Mammalia,Carnivora,14.1,6000,nonvolant,semifossorial,aquatic,diurnal
Spermophilus_citellus,Mammalia,Rodentia,6.7,217,nonvolant,semifossorial,terrestrial,diurnal
Suricata_suricatta,Mammalia,Carnivora,20.6,776,nonvolant,semifossorial,terrestrial,diurnal
Sus_barbatus,Mammalia,Artiodactyla,16.2,102750,nonvolant,semifossorial,terrestrial,nocturnal
Sus_scrofa,Mammalia,Artiodactyla,27,130000,nonvolant,semifossorial,terrestrial,nocturnal
Sylvicapra_grimmia,Mammalia,Artiodactyla,15.4,18500,nonvolant,nonfossorial,terrestrial,nocturnal
Syncerus_caffer,Mammalia,Artiodactyla,29.8,7.00E+05,nonvolant,nonfossorial,terrestrial,cathemeral
Tachyglossus_aculeatus,Mammalia,Monotremata,49.5,3500,nonvolant,semifossorial,terrestrial,cathemeral
Tadarida_teniotis,Mammalia,Chiroptera,13,35,volant,nonfossorial,volant,nocturnal
Tamandua_tetradactyla,Mammalia,Pilosa,19,4500,nonvolant,nonfossorial,semiarboreal,cathemeral
Tamias_sibiricus,Mammalia,Rodentia,9.6,85,nonvolant,semifossorial,terrestrial,diurnal
Tapirus_bairdii,Mammalia,Perissodactyla,29.6,3.00E+05,nonvolant,nonfossorial,terrestrial,nocturnal
Tapirus_indicus,Mammalia,Perissodactyla,36.5,250000,nonvolant,nonfossorial,terrestrial,crepuscular
Taurotragus_derbianus,Mammalia,Artiodactyla,20.3,680000,nonvolant,nonfossorial,terrestrial,crepuscular
Taurotragus_oryx,Mammalia,Artiodactyla,26.1,5.00E+05,nonvolant,nonfossorial,terrestrial,crepuscular
Tayassu_pecari,Mammalia,Artiodactyla,28.5,22000,nonvolant,nonfossorial,terrestrial,cathemeral
Theropithecus_gelada,Mammalia,Primates,36,16200,nonvolant,nonfossorial,terrestrial,diurnal
Tragelaphus_angasii,Mammalia,Artiodactyla,18.5,120000,nonvolant,nonfossorial,terrestrial,crepuscular
Tragelaphus_eurycerus,Mammalia,Artiodactyla,21.9,307500,nonvolant,nonfossorial,terrestrial,crepuscular
Tragelaphus_imberbis,Mammalia,Artiodactyla,19.8,82500,nonvolant,nonfossorial,terrestrial,nocturnal
Tragelaphus_scriptus,Mammalia,Artiodactyla,15.3,60000,nonvolant,nonfossorial,terrestrial,cathemeral
Tragelaphus_spekii,Mammalia,Artiodactyla,22.6,87500,nonvolant,nonfossorial,terrestrial,cathemeral
Tragelaphus_strepsiceros,Mammalia,Artiodactyla,23.5,217500,nonvolant,nonfossorial,terrestrial,cathemeral
Tragulus_javanicus,Mammalia,Artiodactyla,14,2850,nonvolant,nonfossorial,terrestrial,nocturnal
Tragulus_napu,Mammalia,Artiodactyla,16.7,6500,nonvolant,nonfossorial,terrestrial,nocturnal
Tremarctos_ornatus,Mammalia,Carnivora,39,109250,nonvolant,nonfossorial,semiarboreal,nocturnal
Trichosurus_vulpecula,Mammalia,Diprotodontia,15.9,2395,nonvolant,nonfossorial,arboreal,nocturnal
Tupaia_belangeri,Mammalia,Scandentia,11.1,200,nonvolant,nonfossorial,semiarboreal,diurnal
Tupaia_glis,Mammalia,Scandentia,12.4,200,nonvolant,nonfossorial,terrestrial,diurnal
Uncia_uncia,Mammalia,Carnivora,21.2,50000,nonvolant,nonfossorial,terrestrial,diurnal
