"","Binomial","order","family","genus","species","Mean_brain_mass_g","Mean_body_mass_g","Brain.resid","T_resid"
"49","Hyemoschus_aquaticus","Artiodactyla","Tragulidae","Hyemoschus","aquaticus",25.2,10800,-0.363718879,-0.45767788
"50","Neotragus_moschatus","Artiodactyla","Bovidae","Neotragus","moschatus",32,3250,0.131189452,-0.361083115
"51","Philantomba_maxwellii","Artiodactyla","Bovidae","Philantomba","maxwellii",38,3357,0.195271988,-0.324401208
"52","Philantomba_monticola","Artiodactyla","Bovidae","Philantomba","monticola",48,5650,0.127155239,-0.317913259
"53","Raphicerus_campestris","Artiodactyla","Bovidae","Raphicerus","campestris",51.3,10200,-0.036384196,-0.300707596
"54","Hydropotes_inermis","Artiodactyla","Cervidae","Hydropotes","inermis",52,11300,-0.063857228,-0.300332494
"55","Raphicerus_melanotis","Artiodactyla","Bovidae","Raphicerus","melanotis",55,10100,-0.002929743,-0.287767607
"56","Mazama_americana","Artiodactyla","Cervidae","Mazama","americana",56,3500,0.350088766,-0.278703123
"57","Ourebia_ourebi","Artiodactyla","Bovidae","Ourebia","ourebi",58.3,14617,-0.098027641,-0.270578044
"58","Oreotragus_oreotragus","Artiodactyla","Bovidae","Oreotragus","oreotragus",59.4,11000,0.002690273,-0.268692193
"59","Gazella_dorcas","Artiodactyla","Bovidae","Gazella","dorcas",70.8,17275,-0.068083295,-0.25556625
"60","Sylvicapra_grimmia","Artiodactyla","Bovidae","Sylvicapra","grimmia",77.2,12625,0.071641689,-0.253426642
"61","Cephalophus_zebra","Artiodactyla","Bovidae","Cephalophus","zebra",83,10000,0.17902672,-0.251695517
"62","Cephalophus_natalensis","Artiodactyla","Bovidae","Cephalophus","natalensis",84.1,12500,0.112061445,-0.247613546
"63","Cephalophus_nigrifrons","Artiodactyla","Bovidae","Cephalophus","nigrifrons",85,13650,0.088017132,-0.239882629
"64","Capreolus_capreolus","Artiodactyla","Cervidae","Capreolus","capreolus",92.7,17472,0.045269724,-0.238212469
"65","Cephalophus_dorsalis","Artiodactyla","Bovidae","Cephalophus","dorsalis",92.897,19998.6187,0.00219824,-0.2244173
"66","Cephalophus_leucogaster","Artiodactyla","Bovidae","Cephalophus","leucogaster",93,13000,0.142973275,-0.223265432
"67","Pecari_tajacu","Artiodactyla","Tayassuidae","Pecari","tajacu",101.5,18309,0.069414389,-0.219101038
"68","Redunca_fulvorufula","Artiodactyla","Bovidae","Redunca","fulvorufula",109,31000,-0.071149535,-0.21897114
"69","Antilope_cervicapra","Artiodactyla","Bovidae","Antilope","cervicapra",110.8,28800,-0.040059147,-0.21661238
"70","Capra_hircus","Artiodactyla","Bovidae","Capra","hircus",115,27660,-0.010745713,-0.208322349
"71","Litocranius_walleri","Artiodactyla","Bovidae","Litocranius","walleri",117.5,39750,-0.119520491,-0.204674723
"72","Rupicapra_rupicapra","Artiodactyla","Bovidae","Rupicapra","rupicapra",117.8,27167,0.005559661,-0.203623029
"73","Pelea_capreolus","Artiodactyla","Bovidae","Pelea","capreolus",121,24000,0.057572943,-0.196358311
"74","Redunca_redunca","Artiodactyla","Bovidae","Redunca","redunca",123,47500,-0.157671137,-0.192778288
"75","Muntiacus_muntjak","Artiodactyla","Cervidae","Muntiacus","muntjak",124.5,16600,0.190035394,-0.19240227
"76","Antilocapra_americana","Artiodactyla","Antilocapridae","Antilocapra","americana",125.6,46750,-0.143402566,-0.190227949
"77","Babyrousa_babyrussa","Artiodactyla","Suidae","Babyrousa","babyrussa",127,78000,-0.305324758,-0.187743147
"78","Phacochoerus_africanus","Artiodactyla","Suidae","Phacochoerus","africanus",132.5,67000,-0.237397296,-0.187021443
"79","Antidorcas_marsupialis","Artiodactyla","Bovidae","Antidorcas","marsupialis",135,36518,-0.031601723,-0.186308576
"80","Redunca_arundinum","Artiodactyla","Bovidae","Redunca","arundinum",136.8,38200,-0.040516813,-0.185836146
"81","Potamochoerus_porcus","Artiodactyla","Suidae","Potamochoerus","porcus",138,75000,-0.256474271,-0.18427217
"82","Nanger_granti","Artiodactyla","Bovidae","Nanger","granti",139,40500,-0.052632031,-0.181908484
"83","Ovis_ammon","Artiodactyla","Bovidae","Ovis","ammon",140,55000,-0.149200462,-0.181546865
"84","Hylochoerus_meinertzhageni","Artiodactyla","Suidae","Hylochoerus","meinertzhageni",141,2e+05,-0.566613733,-0.179935299
"85","Axis_porcinus","Artiodactyla","Cervidae","Axis","porcinus",142,30000,0.054392739,-0.176215857
"86","Tragelaphus_spekii","Artiodactyla","Bovidae","Tragelaphus","spekii",145,42000,-0.046124638,-0.17382768
"87","Tayassu_pecari","Artiodactyla","Tayassuidae","Tayassu","pecari",145.8,32233.33,0.042473764,-0.164390613
"88","Nanger_dama","Artiodactyla","Bovidae","Nanger","dama",150,60000,-0.14757892,-0.1639032
"89","Hemitragus_jemlahicus","Artiodactyla","Bovidae","Hemitragus","jemlahicus",166,70000,-0.153772645,-0.14664572
"90","Sus_scrofa","Artiodactyla","Suidae","Sus","scrofa",169.8,86772.73,-0.213907607,-0.143326098
"91","Cephalophus_silvicultor","Artiodactyla","Bovidae","Cephalophus","silvicultor",170,43000,0.015291837,-0.142927191
"92","Ovis_aries","Artiodactyla","Bovidae","Ovis","aries",175,55500,-0.055238196,-0.139216846
"93","Addax_nasomaculatus","Artiodactyla","Bovidae","Addax","nasomaculatus",185,107000,-0.244924579,-0.126273547
"94","Odocoileus_hemionus","Artiodactyla","Cervidae","Odocoileus","hemionus",189.3,58990,-0.040989873,-0.125072931
"95","Vicugna_vicugna","Artiodactyla","Camelidae","Vicugna","vicugna",199.9,46215,0.062169617,-0.12438743
"96","Cervus_nippon","Artiodactyla","Cervidae","Cervus","nippon",200,46000,0.063905677,-0.118608062
"97","Kobus_kob","Artiodactyla","Bovidae","Kobus","kob",204,117500,-0.232956987,-0.11697151
"98","Ammotragus_lervia","Artiodactyla","Bovidae","Ammotragus","lervia",209,110000,-0.200956785,-0.114956953
"99","Hexaprotodon_liberiensis","Artiodactyla","Hippopotamidae","Hexaprotodon","liberiensis",215,81000,-0.088982945,-0.113149639
"100","Boselaphus_tragocamelus","Artiodactyla","Bovidae","Boselaphus","tragocamelus",271.75,125000,-0.128571897,-0.098289773
"101","Oryx_beisa","Artiodactyla","Bovidae","Oryx","beisa",282,175000,-0.222089377,-0.082518613
"102","Bos_grunniens","Artiodactyla","Bovidae","Bos","grunniens",334,250000,-0.264769557,-0.0615929
"103","Alcelaphus_lichtensteinii","Artiodactyla","Bovidae","Alcelaphus","lichtensteinii",357,165000,-0.100504514,-0.059360356
"104","Alces_americanus","Artiodactyla","Cervidae","Alces","americanus",407,272000,-0.206393539,-0.051473305
"105","Cervus_elaphus","Artiodactyla","Cervidae","Cervus","elaphus",409.3,2e+05,-0.103791101,-0.047631543
"106","Alces_alces","Artiodactyla","Cervidae","Alces","alces",436,2e+05,-0.076346356,-0.047184868
"107","Okapia_johnstoni","Artiodactyla","Giraffidae","Okapia","johnstoni",501,240000,-0.0753816,-0.019740124
"108","Camelus_bactrianus","Artiodactyla","Camelidae","Camelus","bactrianus",575,4e+05,-0.181939574,0.00102404
"109","Mustela_erminea","Carnivora","Mustelidae","Mustela","erminea",4.57,156.43,0.274137251,0.067295272
"110","Mephitis_mephitis","Carnivora","Mephitidae","Mephitis","mephitis",10.15,1980,-0.206079371,-0.303263127
"111","Pusa_caspica","Carnivora","Phocidae","Pusa","caspica",162.5,62750,-0.127413808,-0.075287386
"112","Pusa_sibirica","Carnivora","Phocidae","Pusa","sibirica",187.5,89500,-0.180923944,-0.11345721
"113","Pusa_hispida","Carnivora","Phocidae","Pusa","hispida",196.25,69085,-0.07678532,-0.020503731
"114","Histriophoca_fasciata","Carnivora","Phocidae","Histriophoca","fasciata",248.75,87580,-0.051098491,0.015431358
"115","Phoca_largha","Carnivora","Phocidae","Phoca","largha",253.75,91500,-0.056717775,0.011703747
"116","Panthera_tigris","Carnivora","Felidae","Panthera","tigris",269.73,195000,-0.276656979,-0.1755459
"117","Arctocephalus_galapagoensis","Carnivora","Otariidae","Arctocephalus","galapagoensis",291.25,45950,0.227495855,0.266160204
"118","Arctocephalus_australis","Carnivora","Otariidae","Arctocephalus","australis",307.5,103750,-0.014204341,0.059645355
"119","Halichoerus_grypus","Carnivora","Phocidae","Halichoerus","grypus",307.5,194000,-0.218066435,-0.117177476
"120","Arctocephalus_forsteri","Carnivora","Otariidae","Arctocephalus","forsteri",320,109690,-0.015033848,0.061221101
"121","Arctocephalus_tropicalis","Carnivora","Otariidae","Arctocephalus","tropicalis",326.25,101250,0.019445938,0.092241864
"122","Callorhinus_ursinus","Carnivora","Otariidae","Callorhinus","ursinus",334.83,150916.67,-0.099288052,-0.009248528
"123","Ursus_arctos","Carnivora","Ursidae","Ursus","arctos",335.97,131022.67,-0.051768416,0.032164126
"124","Arctocephalus_gazella","Carnivora","Otariidae","Arctocephalus","gazella",340,96600,0.052687904,0.123452715
"125","Arctocephalus_pusillus","Carnivora","Otariidae","Arctocephalus","pusillus",369.38,178750,-0.111771173,-0.014419195
"126","Neophoca_cinerea","Carnivora","Otariidae","Neophoca","cinerea",388.75,189275,-0.108209722,-0.008386014
"127","Phocarctos_hookeri","Carnivora","Otariidae","Phocarctos","hookeri",393.75,273500,-0.222558717,-0.106832176
"128","Cystophora_cristata","Carnivora","Phocidae","Cystophora","cristata",455,282840,-0.170705612,-0.053528344
"129","Monachus_monachus","Carnivora","Phocidae","Monachus","monachus",480,280500,-0.144769774,-0.027951417
"130","Ommatophoca_rossii","Carnivora","Phocidae","Ommatophoca","rossii",495,179400,0.014178347,0.11168714
"131","Otaria_flavescens","Carnivora","Otariidae","Otaria","flavescens",506.25,222000,-0.045460356,0.061253117
"132","Ursus_maritimus","Carnivora","Ursidae","Ursus","maritimus",507,317000,-0.160848216,-0.038744993
"133","Leptonychotes_weddellii","Carnivora","Phocidae","Leptonychotes","weddellii",564.17,378666.67,-0.172345083,-0.042562436
"134","Lobodon_carcinophaga","Carnivora","Phocidae","Lobodon","carcinophaga",586.25,222250,0.017890864,0.124652961
"135","Eumetopias_jubatus","Carnivora","Otariidae","Eumetopias","jubatus",661.25,643775,-0.276248747,-0.123538887
"136","Hydrurga_leptonyx","Carnivora","Phocidae","Hydrurga","leptonyx",712.5,345500,-0.041113156,0.084709399
"137","Mirounga_leonina","Carnivora","Phocidae","Mirounga","leonina",1205,2006500,-0.385909583,-0.184087321
"138","Odobenus_rosmarus","Carnivora","Odobenidae","Odobenus","rosmarus",1410.25,1022225,-0.097929002,0.074757115
"139","Vulpes_vulpes","Carnivora","Canidae","Vulpes","vulpes",49.64,3722.71,0.277638956,0.207731257
"140","Genetta_tigrina","Carnivora","Viverridae","Genetta","tigrina",15.35,1525,0.058610259,-0.04985375
"141","Otocyon_megalotis","Carnivora","Canidae","Otocyon","megalotis",26.09,3335,0.034104118,-0.040554948
"142","Potos_flavus","Carnivora","Procyonidae","Potos","flavus",33.08,2241.5,0.266614551,0.174789986
"143","Nasua_nasua","Carnivora","Procyonidae","Nasua","nasua",37.5,3187.5,0.206395676,0.129782316
"144","Bassariscus_sumichrasti","Carnivora","Procyonidae","Bassariscus","sumichrasti",41.9,2722,0.306000458,0.222566734
"145","Melursus_ursinus","Carnivora","Ursidae","Melursus","ursinus",267,136080,-0.163893659,-0.078324931
"146","Helarctos_malayanus","Carnivora","Ursidae","Helarctos","malayanus",385.5,45020,0.355914384,0.393695372
"147","Erignathus_barbatus","Carnivora","Phocidae","Erignathus","barbatus",460,281000,-0.163833275,-0.046937977
"148","Pagophilus_groenlandicus","Carnivora","Phocidae","Pagophilus","groenlandicus",275,132250,-0.141773176,-0.057437828
"149","Mirounga_angustirostris","Carnivora","Phocidae","Mirounga","angustirostris",670,7e+05,-0.297812829,-0.141485587
"150","Procyon_lotor","Carnivora","Procyonidae","Procyon","lotor",41.07,4975.67,0.100836745,0.043462415
"151","Nasua_narica","Carnivora","Procyonidae","Nasua","narica",44.17,6250,0.058167422,0.010644166
"152","Phoca_vitulina","Carnivora","Phocidae","Phoca","vitulina",315,73635,0.107939981,0.166977141
"153","Mustela_putorius","Carnivora","Mustelidae","Mustela","putorius",7.87,915,-0.065135296,-0.1956682
"154","Ichneumia_albicauda","Carnivora","Herpestidae","Ichneumia","albicauda",28.3,4400,-0.020851985,-0.083538288
"155","Urocyon_cinereoargenteus","Carnivora","Canidae","Urocyon","cinereoargenteus",37.28,3749,0.15099089,0.081387217
"156","Leptailurus_serval","Carnivora","Felidae","Leptailurus","serval",54.1,11340,-0.047814275,-0.06959949
"157","Leopardus_pardalis","Carnivora","Felidae","Leopardus","pardalis",63.1,9525.5,0.075812296,0.046494142
"158","Lynx_rufus","Carnivora","Felidae","Lynx","rufus",65,6350,0.220783051,0.173945561
"159","Lynx_canadensis","Carnivora","Felidae","Lynx","canadensis",69.5,14969,-0.029462368,-0.039252647
"160","Panthera_pardus","Carnivora","Felidae","Panthera","pardus",135,48000,-0.120653232,-0.080103221
"161","Puma_concolor","Carnivora","Felidae","Puma","concolor",154,54432,-0.104426447,-0.058443682
"162","Ursus_americanus","Carnivora","Ursidae","Ursus","americanus",248,25990,0.343292737,0.35733854
"163","Monachus_schauinslandi","Carnivora","Phocidae","Monachus","schauinslandi",370,173000,-0.100392767,-0.00445336
"164","Arctocephalus_philippii","Carnivora","Otariidae","Arctocephalus","philippii",415,140000,0.01839279,0.105188444
"165","Genetta_pardina","Carnivora","Viverridae","Genetta","pardina",15.4,1032,0.18721638,0.061882016
"166","Mustela_nivalis","Carnivora","Mustelidae","Mustela","nivalis",2,60,0.227380513,-0.020860777
"167","Mustela_frenata","Carnivora","Mustelidae","Mustela","frenata",4,165,0.198907958,-0.005629741
"168","Mustela_altaica","Carnivora","Mustelidae","Mustela","altaica",4.48,190,0.202173315,0.003730551
"169","Ictonyx_libyca","Carnivora","Mustelidae","Ictonyx","libyca",4.48,230,0.139942067,-0.050246652
"170","Poecilogale_albinucha","Carnivora","Mustelidae","Poecilogale","albinucha",4.5,250,0.114717187,-0.071869245
"171","Helogale_parvula","Carnivora","Herpestidae","Helogale","parvula",4.8,267,0.121317274,-0.06242697
"172","Vormela_peregusna","Carnivora","Mustelidae","Vormela","peregusna",4.8,448,-0.047259341,-0.208644415
"173","Spilogale_putorius","Carnivora","Mephitidae","Spilogale","putorius",5,326,0.074015689,-0.10110325
"174","Mustela_sibirica","Carnivora","Mustelidae","Mustela","sibirica",6,395,0.090661738,-0.076162841
"175","Spilogale_gracilis","Carnivora","Mephitidae","Spilogale","gracilis",6.81,420,0.125668269,-0.038505023
"176","Neovison_vison","Carnivora","Mustelidae","Neovison","vison",7,645,-0.002114906,-0.147754557
"177","Herpestes_javanicus","Carnivora","Herpestidae","Herpestes","javanicus",7.2,527,0.07593198,-0.078436706
"178","Mustela_lutreolina","Carnivora","Mustelidae","Mustela","lutreolina",8.5,538,0.141289602,-0.012186609
"179","Mustela_lutreola","Carnivora","Mustelidae","Mustela","lutreola",8.5,590,0.111237024,-0.038253161
"180","Prionodon_linsang","Carnivora","Viverridae","Prionodon","linsang",8.5,698,0.056483962,-0.085744047
"181","Ictonyx_striatus","Carnivora","Mustelidae","Ictonyx","striatus",8.5,713,0.049558318,-0.091751108
"182","Mustela_nigripes","Carnivora","Mustelidae","Mustela","nigripes",8.5,809,0.008413696,-0.127438511
"183","Galerella_sanguinea","Carnivora","Herpestidae","Galerella","sanguinea",8.8,533,0.159394677,0.005515079
"184","Prionodon_pardicolor","Carnivora","Viverridae","Prionodon","pardicolor",9.03,450,0.225736284,0.064543649
"185","Crossarchus_obscurus","Carnivora","Herpestidae","Crossarchus","obscurus",9.99,865,0.056759368,-0.076201276
"186","Suricata_suricatta","Carnivora","Herpestidae","Suricata","suricatta",10.3,725,0.127540209,-0.013048158
"187","Herpestes_edwardsi","Carnivora","Herpestidae","Herpestes","edwardsi",10.49,1260,-0.044547587,-0.161258187
"188","Cynictis_penicillata","Carnivora","Herpestidae","Cynictis","penicillata",10.5,571,0.213669423,0.062765079
"189","Mungos_mungo","Carnivora","Herpestidae","Mungos","mungo",10.5,860,0.080271439,-0.052939655
"190","Galidia_elegans","Carnivora","Eupleridae","Galidia","elegans",10.7,914,0.068629926,-0.061950219
"191","Salanoia_concolor","Carnivora","Eupleridae","Salanoia","concolor",11.02,780,0.133066913,-0.004362397
"192","Galerella_pulverulenta","Carnivora","Herpestidae","Galerella","pulverulenta",11.02,840,0.108928179,-0.025299489
"193","Herpestes_fuscus","Carnivora","Herpestidae","Herpestes","fuscus",12.55,1120,0.071685395,-0.050113715
"194","Conepatus_humboldtii","Carnivora","Mephitidae","Conepatus","humboldtii",12.6,1294,0.026374592,-0.08918568
"195","Genetta_genetta","Carnivora","Viverridae","Genetta","genetta",14,1820,-0.038971773,-0.139795779
"196","Conepatus_leuconotus","Carnivora","Mephitidae","Conepatus","leuconotus",14.4,2010,-0.059081117,-0.1556152
"197","Herpestes_smithii","Carnivora","Herpestidae","Herpestes","smithii",14.6,1205,0.113567538,-0.005071278
"198","Mydaus_marchei","Carnivora","Mephitidae","Mydaus","marchei",14.87,1414,0.0694284,-0.042300494
"199","Genetta_angolensis","Carnivora","Viverridae","Genetta","angolensis",15.49,2100,-0.04165975,-0.136301455
"200","Martes_americana","Carnivora","Mustelidae","Martes","americana",15.8,860,0.257739227,0.124528133
"201","Paracynictis_selousi","Carnivora","Herpestidae","Paracynictis","selousi",15.8,1700,0.035774332,-0.067996433
"202","Bassariscus_astutus","Carnivora","Procyonidae","Bassariscus","astutus",16,985,0.218998381,0.091650254
"203","Genetta_servalina","Carnivora","Viverridae","Genetta","servalina",16,1295,0.129872408,0.01434551
"204","Viverricula_indica","Carnivora","Viverridae","Viverricula","indica",16.78,2660,-0.083916676,-0.168345817
"205","Bdeogale_crassicauda","Carnivora","Herpestidae","Bdeogale","crassicauda",16.95,1250,-0.086804447,-0.170269926
"206","Rhynchogale_melleri","Carnivora","Herpestidae","Rhynchogale","melleri",16.95,2720,-0.086804447,-0.170269926
"207","Eupleres_goudotii","Carnivora","Eupleridae","Eupleres","goudotii",17,1850,0.040023808,-0.060093875
"208","Vulpes_zerda","Carnivora","Canidae","Vulpes","zerda",17.3,969,0.258258891,0.130203236
"209","Nandinia_binotata","Carnivora","Nandiniidae","Nandinia","binotata",17.3,3190,-0.129844859,-0.206424348
"210","Paradoxurus_zeylonensis","Carnivora","Viverridae","Paradoxurus","zeylonensis",17.81,2720,-0.06531023,-0.148775709
"211","Galictis_vittata","Carnivora","Mustelidae","Galictis","vittata",17.97,1328,0.172104197,0.057664416
"212","Martes_martes","Carnivora","Mustelidae","Martes","martes",18,982,0.27114447,0.143664561
"213","Martes_zibellina","Carnivora","Mustelidae","Martes","zibellina",18.5,1130,0.237318056,0.115902969
"214","Conepatus_chinga","Carnivora","Mephitidae","Conepatus","chinga",18.7,1587,0.131363054,0.024620705
"215","Galictis_cuja","Carnivora","Mustelidae","Galictis","cuja",18.8,1190,0.227452633,0.108272652
"216","Hemigalus_derbyanus","Carnivora","Viverridae","Hemigalus","derbyanus",18.9,2041,0.054032939,-0.041839924
"217","Prionailurus_rubiginosus","Carnivora","Felidae","Prionailurus","rubiginosus",18.92,1420,0.172659349,0.061113387
"218","Bassaricyon_gabbii","Carnivora","Procyonidae","Bassaricyon","gabbii",19.3,1250,0.222829657,0.105774813
"219","Bassaricyon_alleni","Carnivora","Procyonidae","Bassaricyon","alleni",19.37,1235,0.228334296,0.110757888
"220","Mydaus_javanensis","Carnivora","Mephitidae","Mydaus","javanensis",19.49,2510,9.32e-06,-0.086927437
"221","Fossa_fossana","Carnivora","Eupleridae","Fossa","fossana",19.69,1500,0.172131583,0.062953469
"222","Felis_nigripes","Carnivora","Felidae","Felis","nigripes",20.1,1100,0.282106784,0.159529231
"223","Martes_foina","Carnivora","Mustelidae","Martes","foina",20.9,1450,0.209074697,0.098431954
"224","Herpestes_urva","Carnivora","Herpestidae","Herpestes","urva",20.91,2360,0.050622984,-0.038975951
"225","Prionailurus_planiceps","Carnivora","Felidae","Prionailurus","planiceps",21.98,2100,0.11031652,0.015674816
"226","Arctogalidia_trivirgata","Carnivora","Viverridae","Arctogalidia","trivirgata",21.98,2460,0.058779187,-0.02902686
"227","Herpestes_ichneumon","Carnivora","Herpestidae","Herpestes","ichneumon",23.3,3265,-0.008104487,-0.083680002
"228","Viverra_tangalunga","Carnivora","Viverridae","Viverra","tangalunga",24.1,4710,-0.112797755,-0.172542693
"229","Vulpes_bengalensis","Carnivora","Canidae","Vulpes","bengalensis",24.5,2260,0.133537838,0.042068377
"230","Vulpes_pallida","Carnivora","Canidae","Vulpes","pallida",25.03,3600,-0.008814338,-0.080170097
"231","Herpestes_naso","Carnivora","Herpestidae","Herpestes","naso",25.53,3000,0.059162108,-0.020070381
"232","Felis_catus","Carnivora","Felidae","Felis","catus",25.6,3300,0.029306459,-0.045808401
"233","Herpestes_vitticollis","Carnivora","Herpestidae","Herpestes","vitticollis",25.79,2290,0.151527774,0.060628023
"234","Vulpes_rueppellii","Carnivora","Canidae","Vulpes","rueppellii",25.8,2250,0.157435914,0.065774867
"235","Paradoxurus_hermaphroditus","Carnivora","Viverridae","Paradoxurus","hermaphroditus",25.95,2773.5,0.091818704,0.00919473
"236","Urocyon_littoralis","Carnivora","Canidae","Urocyon","littoralis",27.7,1896,0.244054629,0.14499803
"237","Atilax_paludinosus","Carnivora","Herpestidae","Atilax","paludinosus",28.5,3670,0.041296942,-0.029226833
"238","Nyctereutes_procyonoides","Carnivora","Canidae","Nyctereutes","procyonoides",28.5,4020,0.011626678,-0.05496178
"239","Martes_pennanti","Carnivora","Mustelidae","Martes","pennanti",29,2250,0.208214206,0.116553159
"240","Prionailurus_bengalensis","Carnivora","Felidae","Prionailurus","bengalensis",29.37,5470,-0.075636113,-0.128918373
"241","Cynogale_bennettii","Carnivora","Viverridae","Cynogale","bennettii",29.96,4010,0.034134895,-0.032561166
"242","Paguma_larvata","Carnivora","Viverridae","Paguma","larvata",30.9,4800,-0.011021622,-0.069948825
"243","Vulpes_velox","Carnivora","Canidae","Vulpes","velox",32.1,2345,0.23885087,0.148976466
"244","Cryptoprocta_ferox","Carnivora","Eupleridae","Cryptoprocta","ferox",32.1,6775,-0.106727148,-0.150765789
"245","Hydrictis_maculicollis","Carnivora","Mustelidae","Hydrictis","maculicollis",33,4300,0.053363754,-0.010315751
"246","Vulpes_chama","Carnivora","Canidae","Vulpes","chama",33.5,2955,0.182078973,0.102193538
"247","Leopardus_geoffroyi","Carnivora","Felidae","Leopardus","geoffroyi",34,3590,0.125109777,0.053633844
"248","Martes_flavigula","Carnivora","Mustelidae","Martes","flavigula",34.12,2510,0.2432065,0.156269746
"249","Felis_manul","Carnivora","Felidae","Felis","manul",34.47,3000,0.189552577,0.110320088
"250","Proteles_cristata","Carnivora","Hyaenidae","Proteles","cristata",35.2,8820,-0.152609772,-0.185252374
"251","Vulpes_lagopus","Carnivora","Canidae","Vulpes","lagopus",35.5,3415,0.160137168,0.086502207
"252","Felis_silvestris","Carnivora","Felidae","Felis","silvestris",35.5,4130,0.098217091,0.032794904
"253","Viverra_megaspila","Carnivora","Viverridae","Viverra","megaspila",36.6,8500,-0.123633995,-0.157873172
"254","Felis_chaus","Carnivora","Felidae","Felis","chaus",37,5050,0.050683865,-0.006049851
"255","Viverra_zibetha","Carnivora","Viverridae","Viverra","zibetha",37,8500,-0.118913356,-0.153152534
"256","Civettictis_civetta","Carnivora","Viverridae","Civettictis","civetta",37,11250,-0.210214393,-0.232343852
"257","Aonyx_cinerea","Carnivora","Mustelidae","Aonyx","cinerea",38.09,4060,0.134367775,0.068207067
"258","Lontra_felina","Carnivora","Mustelidae","Lontra","felina",38.9,4000,0.14835598,0.081552048
"259","Lutra_lutra","Carnivora","Mustelidae","Lutra","lutra",39,6750,-0.020963418,-0.065161772
"260","Lycalopex_gymnocercus","Carnivora","Canidae","Lycalopex","gymnocercus",40,4350,0.13314417,0.06996412
"261","Speothos_venaticus","Carnivora","Canidae","Speothos","venaticus",40.5,5990,0.034335069,-0.015023859
"262","Arctictis_binturong","Carnivora","Viverridae","Arctictis","binturong",40.85,11470,-0.173532286,-0.194825052
"263","Puma_yagouaroundi","Carnivora","Felidae","Puma","yagouaroundi",40.9,2485,0.325181312,0.237812098
"264","Viverra_civettina","Carnivora","Viverridae","Viverra","civettina",42.1,8500,-0.062832984,-0.097072162
"265","Lycalopex_griseus","Carnivora","Canidae","Lycalopex","griseus",42.47,4324,0.161119136,0.09768009
"266","Meles_meles","Carnivora","Mustelidae","Meles","meles",45.5,10100,-0.085281036,-0.112069127
"267","Prionailurus_viverrinus","Carnivora","Felidae","Prionailurus","viverrinus",46.53,8410,-0.015914798,-0.050613852
"268","Ailurus_fulgens","Carnivora","Ailuridae","Ailurus","fulgens",46.8,5590,0.119637367,0.067292629
"269","Eira_barbara","Carnivora","Mustelidae","Eira","barbara",47.05,2668,0.362872845,0.278573441
"270","Taxidea_taxus","Carnivora","Mustelidae","Taxidea","taxus",48.9,7425,0.046236035,0.00615531
"271","Arctonyx_collaris","Carnivora","Mustelidae","Arctonyx","collaris",49.4,10490,-0.061906183,-0.087057465
"272","Cerdocyon_thous","Carnivora","Canidae","Cerdocyon","thous",49.5,5600,0.143414543,0.091147021
"273","Lontra_canadensis","Carnivora","Mustelidae","Lontra","canadensis",50.5,7850,0.042088488,0.004412446
"274","Canis_adustus","Carnivora","Canidae","Canis","adustus",50.8,6155,0.123892751,0.075707776
"275","Lycalopex_culpaeus","Carnivora","Canidae","Lycalopex","culpaeus",51.4,8840,0.011072917,-0.021471832
"276","Caracal_caracal","Carnivora","Felidae","Caracal","caracal",51.9,7690,0.060672017,0.022106318
"277","Canis_mesomelas","Carnivora","Canidae","Canis","mesomelas",54.8,8000,0.071412364,0.034554057
"278","Lontra_longicaudis","Carnivora","Mustelidae","Lontra","longicaudis",57.4,8000,0.091543698,0.054685391
"279","Profelis_aurata","Carnivora","Felidae","Profelis","aurata",57.97,11940,-0.034601849,-0.054159642
"280","Lutrogale_perspicillata","Carnivora","Mustelidae","Lutrogale","perspicillata",61,7300,0.14778726,0.10697303
"281","Melogale_personata","Carnivora","Mustelidae","Melogale","personata",61.4,14042,-0.062455745,-0.075007891
"282","Procyon_cancrivorus","Carnivora","Procyonidae","Procyon","cancrivorus",61.56,6931.72,0.168617578,0.125566916
"283","Atelocynus_microtis","Carnivora","Canidae","Atelocynus","microtis",62.18,9030,0.086833838,0.05520781
"284","Catopuma_temminckii","Carnivora","Felidae","Catopuma","temminckii",68.03,4220,0.373667345,0.309176503
"285","Lynx_lynx","Carnivora","Felidae","Lynx","lynx",68.5,17200,-0.081008761,-0.084797017
"286","Neofelis_nebulosa","Carnivora","Felidae","Neofelis","nebulosa",68.7,19490,-0.120455514,-0.118843809
"287","Canis_aureus","Carnivora","Canidae","Canis","aureus",72.2,7150,0.227757299,0.186046101
"288","Gulo_gulo","Carnivora","Mustelidae","Gulo","gulo",72.5,10600,0.10130706,0.076606448
"289","Mellivora_capensis","Carnivora","Mustelidae","Mellivora","capensis",72.97,8080,0.192535092,0.156106663
"290","Canis_latrans","Carnivora","Canidae","Canis","latrans",84.5,9760,0.194718046,0.166450574
"291","Pteronura_brasiliensis","Carnivora","Mustelidae","Pteronura","brasiliensis",85.6,24000,-0.092738662,-0.082134277
"292","Cuon_alpinus","Carnivora","Canidae","Cuon","alpinus",94.6,13800,0.130929484,0.117626297
"293","Aonyx_capensis","Carnivora","Mustelidae","Aonyx","capensis",94.6,19110,0.024892308,0.025653368
"294","Hyaena_hyaena","Carnivora","Hyaenidae","Hyaena","hyaena",97.5,36300,-0.170980589,-0.142500607
